NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
518,제주특별자치도 제주시 이호이동,113-2,113,2,이호엘리시아아파트,61.102,202505,15,"24,000",-,2,개인,개인,2017,대동길 10,-,중개거래,제주 제주시,25.06.16
519,제주특별자치도 제주시 애월읍 하귀2리,1437,1437,0,하귀코아루오션뷰,78.9661,202505,15,"39,000",101동,7,개인,개인,2018,항몽로 7,-,직거래,-,25.05.15
520,제주특별자치도 제주시 조천읍 함덕리,4168,4168,0,광명샤인빌,59.2517,202505,15,"22,500",103,4,개인,개인,2006,함덕30길 27,-,중개거래,제주 제주시,25.07.08
521,제주특별자치도 서귀포시 서귀동,202-21,202,21,바원에스클래스,74.39,202505,15,"26,000",-,9,개인,개인,2020,명동로 45,-,직거래,-,25.06.16
522,제주특별자치도 제주시 연동,257,257,0,디지털한빛,84.719,202505,15,"47,400",디지털한빛아파트 101,9,개인,개인,2005,연동4길 32,-,중개거래,제주 제주시,25.06.27
523,제주특별자치도 제주시 도련일동,1789-2,1789,2,미듬하나로(도련),53.0916,202505,15,"20,000",미듬하나로아파트 다동,7,개인,개인,2002,삼봉로 115-1,-,직거래,-,25.06.02
524,제주특별자치도 서귀포시 동홍동,147,147,0,주공1,39.69,202505,15,"14,500",105,3,개인,개인,1988,동홍중앙로 10,-,중개거래,제주 서귀포시,25.06.30
525,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202505,15,"30,000",201,2,개인,개인,2001,과원로 11,-,중개거래,제주 제주시,25.05.30
526,제주특별자치도 제주시 노형동,Dec-33,2533,12,삼환5차,84.82,202505,15,"35,000",-,8,개인,개인,2004,수덕5길 49,-,중개거래,제주 제주시,25.06.30
527,제주특별자치도 제주시 연동,274-30,274,30,크라운아트빌,22.8844,202505,14,"6,580",-,6,개인,개인,2012,연동8길 15,-,중개거래,제주 제주시,25.05.28
